label,corr_thresh,vol_thresh,base_bil,guard_bil,mode,sharpe,return,vol,mdd,calmar,triple,months_guard_active,pct_guard_active
CG_corr-0.20_vol0.18_base0.08_guard0.30_corr_only,-0.2,0.18,0.08,0.3,corr_only,0.9805839492587514,0.08633536162437162,0.08804484479848436,-0.0969229543495416,0.8907627940540583,False,66,0.5789473684210527
CG_corr-0.20_vol0.18_base0.08_guard0.35_either,-0.2,0.18,0.08,0.35,either,0.9854737676195869,0.08308420307425622,0.08430889365522759,-0.09577266049478347,0.8675148277705164,False,69,0.6052631578947368
CG_corr-0.20_vol0.18_base0.08_guard0.35_corr_only,-0.2,0.18,0.08,0.35,corr_only,1.0045909785728013,0.08590121479463761,0.08550864643108326,-0.09577266049478347,0.8969283546144827,False,66,0.5789473684210527
CG_corr-0.20_vol0.18_base0.08_guard0.40_either,-0.2,0.18,0.08,0.4,either,1.0210190174805929,0.08325784178862936,0.0815438697646118,-0.09577266049478331,0.8693278578510866,False,69,0.6052631578947368
CG_corr-0.20_vol0.18_base0.08_guard0.40_corr_only,-0.2,0.18,0.08,0.4,corr_only,1.0449568991585547,0.08668252123376807,0.08295320247521085,-0.09577266049478331,0.9050862823058949,False,66,0.5789473684210527
CG_corr-0.20_vol0.18_base0.10_guard0.25_either,-0.2,0.18,0.1,0.25,either,0.895093745900839,0.08024840076834218,0.08965362693667209,-0.10410895319648818,0.7708117150778261,False,69,0.6052631578947368
CG_corr-0.20_vol0.18_base0.10_guard0.25_corr_only,-0.2,0.18,0.1,0.25,corr_only,0.9055268616724526,0.08179898619221607,0.0903330311385113,-0.10410895319648825,0.7857055870865799,False,66,0.5789473684210527
CG_corr-0.20_vol0.18_base0.10_guard0.30_either,-0.2,0.18,0.1,0.3,either,0.9606366183075342,0.08303522587427717,0.08643770629998472,-0.09692940401765947,0.8566567257459776,False,69,0.6052631578947368
CG_corr-0.20_vol0.18_base0.10_guard0.30_corr_only,-0.2,0.18,0.1,0.3,corr_only,0.9747614955943182,0.08512598337445591,0.08733006356857999,-0.09692940401765941,0.8782266252142327,False,66,0.5789473684210527
CG_corr-0.20_vol0.18_base0.10_guard0.35_either,-0.2,0.18,0.1,0.35,either,0.9801440308741549,0.08199438290581519,0.08365544279516489,-0.09383015163044062,0.8738596440593874,False,69,0.6052631578947368
CG_corr-0.20_vol0.18_base0.10_guard0.35_corr_only,-0.2,0.18,0.1,0.35,corr_only,0.9991877791761751,0.08469297793319863,0.08476182325110855,-0.09383015163044074,0.9026200689387164,False,66,0.5789473684210527
CG_corr-0.20_vol0.18_base0.10_guard0.40_either,-0.2,0.18,0.1,0.4,either,1.0162371565640145,0.08217431637200545,0.08086135784470222,-0.09447083019081265,0.8698379828570296,False,69,0.6052631578947368
CG_corr-0.20_vol0.18_base0.10_guard0.40_corr_only,-0.2,0.18,0.1,0.4,corr_only,1.0405158315633634,0.08550474284237661,0.08217534058458936,-0.09447083019081265,0.9050914728882313,False,66,0.5789473684210527
CG_corr-0.20_vol0.20_base0.05_guard0.25_either,-0.2,0.2,0.05,0.25,either,0.9000140427976466,0.08203540405046739,0.09114902673681026,-0.10409052336320639,0.7881159725195984,False,69,0.6052631578947368
CG_corr-0.20_vol0.20_base0.05_guard0.25_corr_only,-0.2,0.2,0.05,0.25,corr_only,0.9137872768635321,0.08412845166645162,0.09206568508505907,-0.1040905233632064,0.8082239280601897,False,66,0.5789473684210527
CG_corr-0.20_vol0.20_base0.05_guard0.30_either,-0.2,0.2,0.05,0.3,either,0.9642270696687577,0.08491786277378713,0.088068324822035,-0.09979255825325462,0.8509438405044359,False,69,0.6052631578947368
CG_corr-0.20_vol0.20_base0.05_guard0.30_corr_only,-0.2,0.2,0.05,0.3,corr_only,0.9814951738909056,0.08754518603863343,0.08919573765358543,-0.09979255825325462,0.8772716880998312,False,66,0.5789473684210527
CG_corr-0.20_vol0.20_base0.05_guard0.35_either,-0.2,0.2,0.05,0.35,either,0.983327668107397,0.08394132820297182,0.08536455438555189,-0.0997925582532545,0.8411581952829059,False,69,0.6052631578947368
CG_corr-0.20_vol0.20_base0.05_guard0.35_corr_only,-0.2,0.2,0.05,0.35,corr_only,1.0048834954339096,0.0871298706484735,0.08670644014394001,-0.0997925582532545,0.8731099009141993,False,66,0.5789473684210527
CG_corr-0.20_vol0.20_base0.05_guard0.40_either,-0.2,0.2,0.05,0.4,either,1.0185068137316307,0.08417811416073828,0.0826485527890819,-0.09979255825325453,0.8435309770004116,False,69,0.6052631578947368
CG_corr-0.20_vol0.20_base0.05_guard0.40_corr_only,-0.2,0.2,0.05,0.4,corr_only,1.0438743034892037,0.08789263415432161,0.08419848430077831,-0.09979255825325453,0.8807533917636104,False,66,0.5789473684210527
CG_corr-0.20_vol0.20_base0.08_guard0.25_either,-0.2,0.2,0.08,0.25,either,0.9001751508312505,0.08122850108306837,0.09023632901670232,-0.10410193950942495,0.7802784603807913,False,69,0.6052631578947368
CG_corr-0.20_vol0.20_base0.08_guard0.25_corr_only,-0.2,0.2,0.08,0.25,corr_only,0.9119284105497262,0.08299474871367594,0.09101015798339399,-0.10410193950942487,0.7972449803028119,False,66,0.5789473684210527
CG_corr-0.20_vol0.20_base0.08_guard0.30_either,-0.2,0.2,0.08,0.3,either,0.9653483822030894,0.08404225562489642,0.08705899048910994,-0.09692295434954161,0.8671037339803694,False,69,0.6052631578947368
CG_corr-0.20_vol0.20_base0.08_guard0.30_corr_only,-0.2,0.2,0.08,0.3,corr_only,0.9805839492587514,0.08633536162437162,0.08804484479848436,-0.0969229543495416,0.8907627940540583,False,66,0.5789473684210527
CG_corr-0.20_vol0.20_base0.08_guard0.35_either,-0.2,0.2,0.08,0.35,either,0.9854737676195869,0.08308420307425622,0.08430889365522759,-0.09577266049478347,0.8675148277705164,False,69,0.6052631578947368
CG_corr-0.20_vol0.20_base0.08_guard0.35_corr_only,-0.2,0.2,0.08,0.35,corr_only,1.0045909785728013,0.08590121479463761,0.08550864643108326,-0.09577266049478347,0.8969283546144827,False,66,0.5789473684210527
CG_corr-0.20_vol0.20_base0.08_guard0.40_either,-0.2,0.2,0.08,0.4,either,1.0210190174805929,0.08325784178862936,0.0815438697646118,-0.09577266049478331,0.8693278578510866,False,69,0.6052631578947368
CG_corr-0.20_vol0.20_base0.08_guard0.40_corr_only,-0.2,0.2,0.08,0.4,corr_only,1.0449568991585547,0.08668252123376807,0.08295320247521085,-0.09577266049478331,0.9050862823058949,False,66,0.5789473684210527
CG_corr-0.20_vol0.20_base0.10_guard0.25_either,-0.2,0.2,0.1,0.25,either,0.895093745900839,0.08024840076834218,0.08965362693667209,-0.10410895319648818,0.7708117150778261,False,69,0.6052631578947368
CG_corr-0.20_vol0.20_base0.10_guard0.25_corr_only,-0.2,0.2,0.1,0.25,corr_only,0.9055268616724526,0.08179898619221607,0.0903330311385113,-0.10410895319648825,0.7857055870865799,False,66,0.5789473684210527
CG_corr-0.20_vol0.20_base0.10_guard0.30_either,-0.2,0.2,0.1,0.3,either,0.9606366183075342,0.08303522587427717,0.08643770629998472,-0.09692940401765947,0.8566567257459776,False,69,0.6052631578947368
CG_corr-0.20_vol0.20_base0.10_guard0.30_corr_only,-0.2,0.2,0.1,0.3,corr_only,0.9747614955943182,0.08512598337445591,0.08733006356857999,-0.09692940401765941,0.8782266252142327,False,66,0.5789473684210527
CG_corr-0.20_vol0.20_base0.10_guard0.35_either,-0.2,0.2,0.1,0.35,either,0.9801440308741549,0.08199438290581519,0.08365544279516489,-0.09383015163044062,0.8738596440593874,False,69,0.6052631578947368
CG_corr-0.20_vol0.20_base0.10_guard0.35_corr_only,-0.2,0.2,0.1,0.35,corr_only,0.9991877791761751,0.08469297793319863,0.08476182325110855,-0.09383015163044074,0.9026200689387164,False,66,0.5789473684210527
CG_corr-0.20_vol0.20_base0.10_guard0.40_either,-0.2,0.2,0.1,0.4,either,1.0162371565640145,0.08217431637200545,0.08086135784470222,-0.09447083019081265,0.8698379828570296,False,69,0.6052631578947368
CG_corr-0.20_vol0.20_base0.10_guard0.40_corr_only,-0.2,0.2,0.1,0.4,corr_only,1.0405158315633634,0.08550474284237661,0.08217534058458936,-0.09447083019081265,0.9050914728882313,False,66,0.5789473684210527
CG_corr-0.15_vol0.16_base0.05_guard0.25_either,-0.15,0.16,0.05,0.25,either,0.9029031354716357,0.08184998003956885,0.0906520055407872,-0.10363467005844734,0.789793415595452,False,61,0.5350877192982456
CG_corr-0.15_vol0.16_base0.05_guard0.25_corr_only,-0.15,0.16,0.05,0.25,corr_only,0.8975336306296552,0.08311410127062756,0.09260277100961636,-0.11989160183910628,0.6932437301335428,False,53,0.4649122807017544
CG_corr-0.15_vol0.16_base0.05_guard0.30_either,-0.15,0.16,0.05,0.3,either,0.9550709029546716,0.08352835470985837,0.08745775256208668,-0.09979255825325453,0.837019875749445,False,61,0.5350877192982456
CG_corr-0.15_vol0.16_base0.05_guard0.30_corr_only,-0.15,0.16,0.05,0.3,corr_only,0.9582138687559131,0.08661180920606755,0.09038880779143708,-0.11434754338422178,0.7574435500992028,False,53,0.4649122807017544
CG_corr-0.15_vol0.16_base0.05_guard0.35_either,-0.15,0.16,0.05,0.35,either,0.9728073813956254,0.0824022928758735,0.08470566162610334,-0.09979255825325474,0.8257358496287066,False,61,0.5350877192982456
CG_corr-0.15_vol0.16_base0.05_guard0.35_corr_only,-0.15,0.16,0.05,0.35,corr_only,0.9796919206892212,0.0865281877949123,0.08832183461719172,-0.11280254391323045,0.7670765639954997,False,53,0.4649122807017544
CG_corr-0.15_vol0.16_base0.05_guard0.40_either,-0.15,0.16,0.05,0.4,either,1.0039335698151362,0.08238240845717879,0.0820596212081529,-0.0997925582532546,0.8255365920984593,False,61,0.5350877192982456
CG_corr-0.15_vol0.16_base0.05_guard0.40_corr_only,-0.15,0.16,0.05,0.4,corr_only,1.0206765936054476,0.08799483371170504,0.08621225789147496,-0.10579989812899736,0.8317100041477984,False,53,0.4649122807017544
CG_corr-0.15_vol0.16_base0.08_guard0.25_either,-0.15,0.16,0.08,0.25,either,0.8899208128610193,0.08012872697268095,0.09004028877027152,-0.10378650121277086,0.7720534562429315,False,61,0.5350877192982456
CG_corr-0.15_vol0.16_base0.08_guard0.25_corr_only,-0.15,0.16,0.08,0.25,corr_only,0.8828772618184656,0.08082929963345092,0.09155213655289583,-0.11844905785376274,0.6823971511300901,False,53,0.4649122807017544
CG_corr-0.15_vol0.16_base0.08_guard0.30_either,-0.15,0.16,0.08,0.3,either,0.942266753081741,0.08182560318896115,0.08683910678302668,-0.0966345214786101,0.846753333456234,False,61,0.5350877192982456
CG_corr-0.15_vol0.16_base0.08_guard0.30_corr_only,-0.15,0.16,0.08,0.3,corr_only,0.9439178664624149,0.0842758125915459,0.0892829933470717,-0.11290346857229594,0.7464413065182424,False,53,0.4649122807017544
CG_corr-0.15_vol0.16_base0.08_guard0.35_either,-0.15,0.16,0.08,0.35,either,0.9607302217123415,0.08077078737866668,0.0840722874676579,-0.0957726604947833,0.8433595450036208,False,61,0.5350877192982456
CG_corr-0.15_vol0.16_base0.08_guard0.35_corr_only,-0.15,0.16,0.08,0.35,corr_only,0.965275262414941,0.08416479356947133,0.08719253133961655,-0.11136168514104036,0.7557787354140343,False,53,0.4649122807017544
CG_corr-0.15_vol0.16_base0.08_guard0.40_either,-0.15,0.16,0.08,0.4,either,0.9923127133164327,0.08078991739088254,0.08141578386199706,-0.0957726604947833,0.8435592889818816,False,61,0.5350877192982456
CG_corr-0.15_vol0.16_base0.08_guard0.40_corr_only,-0.15,0.16,0.08,0.4,corr_only,1.0067686717764919,0.08563175785032463,0.08505604142332247,-0.1043547572366382,0.8205831733779353,False,53,0.4649122807017544
CG_corr-0.15_vol0.16_base0.10_guard0.25_either,-0.15,0.16,0.1,0.25,either,0.8860821163771598,0.07922860376901839,0.089414516222213,-0.1038515693666051,0.7629023254269226,False,61,0.5350877192982456
CG_corr-0.15_vol0.16_base0.10_guard0.25_corr_only,-0.15,0.16,0.1,0.25,corr_only,0.8848751067668433,0.08053453269526657,0.09101231583915119,-0.11748180469312168,0.6855064314481177,False,53,0.4649122807017544
CG_corr-0.15_vol0.16_base0.10_guard0.30_either,-0.15,0.16,0.1,0.3,either,0.9389981812086214,0.08093192144294212,0.08618964664955098,-0.0966942452797704,0.8369879842257174,False,61,0.5350877192982456
CG_corr-0.15_vol0.16_base0.10_guard0.30_corr_only,-0.15,0.16,0.1,0.3,corr_only,0.9396563708407449,0.08316454333458972,0.08850527268833325,-0.11193646554541407,0.7429620269799281,False,53,0.4649122807017544
CG_corr-0.15_vol0.16_base0.10_guard0.35_either,-0.15,0.16,0.1,0.35,either,0.9582364357165502,0.07990999598091415,0.08339277552221133,-0.09362761935842448,0.8534874274118128,False,61,0.5350877192982456
CG_corr-0.15_vol0.16_base0.10_guard0.35_corr_only,-0.15,0.16,0.1,0.35,corr_only,0.9618778991968601,0.08308557876055171,0.08637850898739408,-0.11039693932886163,0.7526076290308007,False,53,0.4649122807017544
CG_corr-0.15_vol0.16_base0.10_guard0.40_either,-0.15,0.16,0.1,0.4,either,0.9915937020047566,0.08001557436410116,0.08069391142998338,-0.0944708301908127,0.8469870985836079,False,61,0.5350877192982456
CG_corr-0.15_vol0.16_base0.10_guard0.40_corr_only,-0.15,0.16,0.1,0.4,corr_only,1.0032983803643885,0.08454817095709599,0.08427021573222204,-0.10337590325257186,0.8178711701364751,False,53,0.4649122807017544
CG_corr-0.15_vol0.18_base0.05_guard0.25_either,-0.15,0.18,0.05,0.25,either,0.9203670833730216,0.08384791995917183,0.09110269312531308,-0.10409163594800987,0.8055202437307348,False,57,0.5
CG_corr-0.15_vol0.18_base0.05_guard0.25_corr_only,-0.15,0.18,0.05,0.25,corr_only,0.8975336306296552,0.08311410127062756,0.09260277100961636,-0.11989160183910628,0.6932437301335428,False,53,0.4649122807017544
CG_corr-0.15_vol0.18_base0.05_guard0.30_either,-0.15,0.18,0.05,0.3,either,0.9748171661088082,0.08615879487019075,0.08838456878443376,-0.09979255825325453,0.863378957091531,False,57,0.5
CG_corr-0.15_vol0.18_base0.05_guard0.30_corr_only,-0.15,0.18,0.05,0.3,corr_only,0.9582138687559131,0.08661180920606755,0.09038880779143708,-0.11434754338422178,0.7574435500992028,False,53,0.4649122807017544
CG_corr-0.15_vol0.18_base0.05_guard0.35_either,-0.15,0.18,0.05,0.35,either,0.9962867198005498,0.08569725457395319,0.08601665852889138,-0.09979255825325474,0.8587539599543053,False,57,0.5
CG_corr-0.15_vol0.18_base0.05_guard0.35_corr_only,-0.15,0.18,0.05,0.35,corr_only,0.9796919206892212,0.0865281877949123,0.08832183461719172,-0.11280254391323045,0.7670765639954997,False,53,0.4649122807017544
