corr_thresh,base_bil,overlay_mods,sharpe,return,mdd,triple,guard_months
0.15,0.0,stop_tight,0.931682916143005,0.08931166693052947,-0.1361922492259846,False,26
0.15,0.0,vol_low,0.8208037189000703,0.0795250580457294,-0.13949214386548217,False,26
0.15,0.0,s7+stop,0.9712386459910118,0.09793252200418828,-0.12424189536749534,False,26
0.15,0.03,none,0.8557649493395103,0.08358122062541899,-0.1364880554382808,False,26
0.15,0.03,v5_mods,0.8705807390364066,0.09226317391478112,-0.12808016283113327,False,26
0.15,0.03,s7_aggressive,0.8264042373786001,0.08274816535359175,-0.13803328289553754,False,26
0.15,0.03,stop_tight,0.9316235565091708,0.08793201469924357,-0.13441804788359732,False,26
0.15,0.03,vol_low,0.8356985961220568,0.07918248740393863,-0.13702016422906105,False,26
0.15,0.03,s7+stop,0.9610122072763856,0.09534534864593971,-0.12172014437423918,False,26
0.15,0.05,none,0.8850436571871197,0.08533752839768569,-0.13358271538566924,False,26
0.15,0.05,v5_mods,0.890217424034229,0.09288128298579852,-0.12566468074771847,False,26
0.15,0.05,s7_aggressive,0.8490061833234395,0.08344886004764843,-0.13721587296292292,False,26
0.15,0.05,stop_tight,0.9658611608112211,0.08965869482599767,-0.1299515825437637,False,26
0.15,0.05,vol_low,0.8620966537233326,0.08044966394547187,-0.13423456140711218,False,26
0.15,0.05,s7+stop,0.9882944322831623,0.09626898437385928,-0.12003779514267171,False,26
0.15,0.08,none,0.8732440180714786,0.08332881443507634,-0.13105518969174162,False,26
0.15,0.08,v5_mods,0.9173963924244718,0.0924863513836527,-0.1279442798481152,False,26
0.15,0.08,s7_aggressive,0.8547581661640111,0.08276199758748584,-0.13471916615520066,False,26
0.15,0.08,stop_tight,0.9883777213298346,0.0898028594381479,-0.12730604874832094,False,26
0.15,0.08,vol_low,0.8519090047803662,0.07869040102712241,-0.13167261240722372,False,26
0.15,0.08,s7+stop,0.9678541219155892,0.09303274475281338,-0.12081538844014364,False,26
0.15,0.1,none,0.8729117855455142,0.0822600401082823,-0.12737777633697317,False,26
0.15,0.1,v5_mods,0.9377724045295034,0.09304418437460951,-0.12477703291986866,False,26
0.15,0.1,s7_aggressive,0.8685840821681002,0.08274541679933334,-0.13110896335701983,False,26
0.15,0.1,stop_tight,0.9538536423072307,0.08612235745656004,-0.12554189763560272,False,26
0.15,0.1,vol_low,0.8613151539492709,0.07831803850922611,-0.1280185232122592,False,26
0.15,0.1,s7+stop,0.9434690987186515,0.08939440128005553,-0.1257822059974025,False,26
0.2,0.0,none,0.8686252446157843,0.08693845640291223,-0.13923596617352088,False,19
0.2,0.0,v5_mods,0.8809954750048125,0.09600667583732334,-0.1316986547611451,False,19
0.2,0.0,s7_aggressive,0.8617996757150077,0.0882484196125285,-0.1409603573756606,False,19
0.2,0.0,stop_tight,0.9349935925261543,0.0902463741173668,-0.1361922492259846,False,19
0.2,0.0,vol_low,0.8244798729685471,0.08039649283054527,-0.13949214386548217,False,19
0.2,0.0,s7+stop,0.9993263830009221,0.10153534901013392,-0.12424189536749534,False,19
0.2,0.03,none,0.8632069652944798,0.08453172313868593,-0.1364880554382808,False,19
0.2,0.03,v5_mods,0.8830834320837931,0.0940697029855583,-0.12808016283113327,False,19
0.2,0.03,s7_aggressive,0.8458955095171099,0.0850244410648067,-0.13803328289553754,False,19
0.2,0.03,stop_tight,0.9406474156660677,0.08913187205806748,-0.13441804788359732,False,19
0.2,0.03,vol_low,0.8341892681173273,0.07946405612800217,-0.13702016422906105,False,19
0.2,0.03,s7+stop,0.9865639538469341,0.09834841044078735,-0.12172014437423918,False,19
0.2,0.05,none,0.8947239064062716,0.08665320437106984,-0.13358271538566924,False,19
0.2,0.05,v5_mods,0.8947544370852021,0.09349681772731451,-0.12566468074771847,False,19
0.2,0.05,s7_aggressive,0.8671632039213792,0.0855149696692955,-0.13721587296292292,False,19
0.2,0.05,stop_tight,0.9809315638192745,0.09116996072582606,-0.1299515825437637,False,19
0.2,0.05,vol_low,0.8587714126336198,0.08049086852173803,-0.13423456140711218,False,19
0.2,0.05,s7+stop,1.0064433116316325,0.09858623040795073,-0.12003779514267171,False,19
0.2,0.08,none,0.8783131838785031,0.08400297914590052,-0.13105518969174162,False,19
0.2,0.08,v5_mods,0.9235219925347629,0.09346631696303515,-0.1279442798481152,False,19
0.2,0.08,s7_aggressive,0.8457913629341361,0.08190752108056339,-0.13471916615520066,False,19
0.2,0.08,stop_tight,0.9923840949674929,0.09038596251475364,-0.12730604874832094,False,19
0.2,0.08,vol_low,0.8550195556341176,0.07909938303818782,-0.13167261240722372,False,19
0.2,0.08,s7+stop,0.9860362484989923,0.09523843786811238,-0.12081538844014364,False,19
0.2,0.1,none,0.8779619824812596,0.08287792177465611,-0.12737777633697317,False,19
0.2,0.1,v5_mods,0.9362093276636521,0.0928609762518853,-0.12477703291986866,False,19
0.2,0.1,s7_aggressive,0.868531020168436,0.08276656400883314,-0.13110896335701983,False,19
0.2,0.1,stop_tight,0.9568156325046592,0.08654959181929012,-0.12554189763560272,False,19
0.2,0.1,vol_low,0.863784504327053,0.07860613283762272,-0.1280185232122592,False,19
0.2,0.1,s7+stop,0.9464616327751613,0.08984179586517686,-0.1257822059974025,False,19
0.25,0.0,none,0.8853189492940081,0.08881154237710569,-0.13923596617352088,False,14
